category	field_id	desc_full	desc_short
Simulated traits	f.sim_10k_rg_nt_0.3_qn	Simulation: 10k loci, regular arch., no transf., alpha = 0, h2=0.3	Sim: 10k/rg/nt/a=0/.3
Simulated traits	f.sim_10k_rg_nt_0.6_qn	Simulation: 10k loci, regular arch., no transf., alpha = 0, h2=0.6	Sim: 10k/rg/nt/a=0/.6
Simulated traits	f.sim_10k_rg_nt_a5_0.3_qn	Simulation: 10k loci, regular arch., no transf., alpha = -0.5, h2=0.3	Sim: 10k/rg/nt/a=-.5/.3
Simulated traits	f.sim_10k_rg_nt_a5_0.6_qn	Simulation: 10k loci, regular arch., no transf., alpha = -0.5, h2=0.6	Sim: 10k/rg/nt/a=-.5/.6
Simulated traits	f.sim_10k_rg_sgscbn_0.3_qn	Simulation: 10k loci, regular arch., scaled sigmoid transf. before add. noise, alpha = 0, h2=0.3	Sim: 10k/rg/sgscbn/a=0/.3
Simulated traits	f.sim_10k_rg_sgscbn_0.6_qn	Simulation: 10k loci, regular arch., scaled sigmoid transf. before add. noise, alpha = 0, h2=0.6	Sim: 10k/rg/sgscbn/a=0/.6
Simulated traits	f.sim_10k_rg_sgscbn_a5_0.3_qn	Simulation: 10k loci, regular arch., scaled sigmoid transf. before add. noise, alpha = -0.5, h2=0.3	Sim: 10k/rg/sgscbn/a=-.5/.3
Simulated traits	f.sim_10k_rg_sgscbn_a5_0.6_qn	Simulation: 10k loci, regular arch., scaled sigmoid transf. before add. noise, alpha = -0.5, h2=0.6	Sim: 10k/rg/sgscbn/a=-.5/.6
Simulated traits	f.sim_10k_rg_sgscan_0.3_qn	Simulation: 10k loci, regular arch., scaled sigmoid transf. after add. noise, alpha = 0, h2=0.3	Sim: 10k/rg/sgscan/a=0/.3
Simulated traits	f.sim_10k_rg_sgscan_0.6_qn	Simulation: 10k loci, regular arch., scaled sigmoid transf. after add. noise, alpha = 0, h2=0.6	Sim: 10k/rg/sgscan/a=0/.6
Simulated traits	f.sim_10k_rg_sgscan_a5_0.3_qn	Simulation: 10k loci, regular arch., scaled sigmoid transf. after add. noise, alpha = -0.5, h2=0.3	Sim: 10k/rg/sgscan/a=-.5/.3
Simulated traits	f.sim_10k_rg_sgscan_a5_0.6_qn	Simulation: 10k loci, regular arch., scaled sigmoid transf. after add. noise, alpha = -0.5, h2=0.6	Sim: 10k/rg/sgscan/a=-.5/.6
Simulated traits	f.sim_10k_cl_nt_0.3_qn	Simulation: 10k loci, clustered arch., no transf., alpha = 0, h2=0.3	Sim: 10k/cl/nt/a=0/.3
Simulated traits	f.sim_10k_cl_nt_0.6_qn	Simulation: 10k loci, clustered arch., no transf., alpha = 0, h2=0.6	Sim: 10k/cl/nt/a=0/.6
Simulated traits	f.sim_10k_cl_nt_a5_0.3_qn	Simulation: 10k loci, clustered arch., no transf., alpha = -0.5, h2=0.3	Sim: 10k/cl/nt/a=-.5/.3
Simulated traits	f.sim_10k_cl_nt_a5_0.6_qn	Simulation: 10k loci, clustered arch., no transf., alpha = -0.5, h2=0.6	Sim: 10k/cl/nt/a=-.5/.6
Simulated traits	f.sim_10k_cl_sgscbn_0.3_qn	Simulation: 10k loci, clustered arch., scaled sigmoid transf. before add. noise, alpha = 0, h2=0.3	Sim: 10k/cl/sgscbn/a=0/.3
Simulated traits	f.sim_10k_cl_sgscbn_0.6_qn	Simulation: 10k loci, clustered arch., scaled sigmoid transf. before add. noise, alpha = 0, h2=0.6	Sim: 10k/cl/sgscbn/a=0/.6
